epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
162,2228.39,0.87039,0.50061,1.06194,0.96289,0.97441,0.98981,0.80316,0.73102,0.42513,0.90684,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687,0.014061,0.004687
163,2259.81,0.87811,0.50358,1.06491,0.96198,0.97163,0.98962,0.80494,0.73066,0.42557,0.90401,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
164,2291.29,0.86532,0.4976,1.05568,0.96715,0.97548,0.99067,0.80644,0.7239,0.42038,0.90331,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621,0.013863,0.004621
165,2322.65,0.87012,0.50097,1.06223,0.96463,0.96902,0.99023,0.80301,0.72989,0.42554,0.90664,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
166,2353.96,0.87098,0.50418,1.06393,0.95668,0.97962,0.99007,0.80557,0.72259,0.42755,0.90317,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
167,2385.3,0.86316,0.4971,1.05531,0.96472,0.97511,0.99103,0.80978,0.7234,0.4253,0.90223,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
168,2416.7,0.86721,0.49845,1.05879,0.95579,0.98259,0.99032,0.80396,0.73,0.42744,0.9055,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489,0.013467,0.004489
169,2448.06,0.86494,0.49555,1.0572,0.96511,0.98181,0.99074,0.8054,0.72799,0.42956,0.90257,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
170,2479.27,0.86417,0.49879,1.06039,0.96528,0.97379,0.99013,0.80832,0.71737,0.42494,0.89905,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423,0.013269,0.004423
171,2510.6,0.8568,0.49221,1.05042,0.96405,0.97792,0.99066,0.80761,0.7252,0.4259,0.90466,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
172,2542.02,0.8586,0.49435,1.05736,0.96603,0.97607,0.99139,0.80792,0.72512,0.42634,0.90149,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
173,2573.61,0.85154,0.49165,1.0506,0.96862,0.97813,0.99159,0.81024,0.72266,0.42588,0.89732,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
174,2604.88,0.85471,0.49528,1.05488,0.96448,0.98229,0.9916,0.81095,0.71736,0.42653,0.89727,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291,0.012873,0.004291
175,2636.12,0.86264,0.49815,1.05947,0.96388,0.98084,0.99094,0.81208,0.71863,0.42665,0.89889,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
176,2667.33,0.85667,0.49594,1.05504,0.96172,0.98071,0.99081,0.81077,0.72052,0.42888,0.8985,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
177,2698.62,0.85576,0.49237,1.05386,0.9622,0.97908,0.99061,0.81112,0.71575,0.42711,0.8953,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
178,2729.91,0.85574,0.49166,1.04994,0.96376,0.98138,0.99122,0.81224,0.71847,0.42184,0.89669,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
179,2761.17,0.85405,0.4889,1.04877,0.96343,0.97743,0.99085,0.81241,0.71906,0.41984,0.89751,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
180,2792.58,0.8456,0.48747,1.04888,0.96813,0.98235,0.99177,0.80945,0.72316,0.4189,0.89978,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093,0.012279,0.004093
181,2823.94,0.85086,0.49265,1.05027,0.96318,0.97641,0.99105,0.81235,0.72299,0.42459,0.90084,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
182,2855.21,0.84656,0.48647,1.04808,0.96043,0.97701,0.99068,0.80863,0.72361,0.42189,0.90125,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027,0.012081,0.004027
183,2886.52,0.84912,0.48699,1.04796,0.95616,0.97797,0.98995,0.80914,0.72143,0.42213,0.90124,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
184,2917.79,0.8597,0.49504,1.0579,0.96413,0.97887,0.99071,0.81102,0.71849,0.42026,0.90027,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
185,2949.07,0.85593,0.49108,1.05466,0.96433,0.97484,0.98889,0.81047,0.72069,0.42153,0.89831,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
186,2980.41,0.85587,0.48956,1.05375,0.95772,0.9799,0.98925,0.8103,0.72043,0.42175,0.89672,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
187,3011.72,0.85563,0.49493,1.05931,0.95734,0.97801,0.98889,0.80628,0.726,0.42787,0.90043,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
188,3043.26,0.84616,0.48644,1.0506,0.96302,0.97594,0.98882,0.80986,0.72179,0.42359,0.90063,0.011487,0.003829,0.011487,0.003829,0.011487,0.003829,0.011487,0.003829
189,3074.68,0.84651,0.48367,1.04526,0.96287,0.98109,0.99052,0.81054,0.72254,0.42285,0.90226,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
190,3106.14,0.84698,0.48633,1.04915,0.95719,0.98311,0.99009,0.81026,0.72472,0.42666,0.90267,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
191,3137.74,0.83957,0.48411,1.04371,0.96002,0.98362,0.99144,0.80884,0.7239,0.42237,0.90265,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
192,3169.1,0.84275,0.48302,1.04518,0.96451,0.9828,0.99188,0.81098,0.71915,0.41992,0.90127,0.011091,0.003697,0.011091,0.003697,0.011091,0.003697,0.011091,0.003697
193,3200.43,0.84129,0.48419,1.04449,0.96551,0.98307,0.99199,0.80956,0.71761,0.42124,0.90152,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
194,3232.19,0.84503,0.48446,1.04699,0.96286,0.98256,0.99161,0.80936,0.71727,0.42473,0.9015,0.010893,0.003631,0.010893,0.003631,0.010893,0.003631,0.010893,0.003631
195,3263.45,0.84671,0.48649,1.04987,0.96548,0.98134,0.99188,0.80891,0.7149,0.42323,0.90075,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
